temperature,precipitation,humidity,windSpeed,city
1.6666666666666667,0.0,56.0,22.224,New York
2.2222222222222223,,59.0,24.076,New York
2.7777777777777777,,61.0,25.928,New York
3.3333333333333335,,57.0,,New York
3.888888888888889,,54.0,,New York
6.111111111111111,,33.0,24.076,New York
5.0,,41.0,22.224,New York
3.3333333333333335,,50.0,20.372,New York
2.2222222222222223,,52.0,18.52,New York
1.6666666666666667,,54.0,16.668,New York
1.1111111111111112,,,,New York
0.5555555555555556,,58.0,,New York
0.0,,61.0,,New York
-0.5555555555555556,,63.0,,New York
-1.1111111111111112,,63.0,,New York
-1.6666666666666667,,66.0,,New York
-1.1111111111111112,,66.0,20.372,New York
-0.5555555555555556,,61.0,,New York
0.5555555555555556,,56.0,22.224,New York
1.1111111111111112,,54.0,,New York
2.2222222222222223,,47.0,24.076,New York
3.3333333333333335,,44.0,,New York
2.7777777777777777,,,25.928,New York
3.3333333333333335,,42.0,,New York
2.7777777777777777,,46.0,,New York
2.2222222222222223,,50.0,,New York
1.6666666666666667,,54.0,,New York
1.1111111111111112,,56.0,29.632,New York
0.5555555555555556,,58.0,33.336,New York
0.0,,58.0,,New York
0.5555555555555556,19.0,56.0,,New York
0.0,,49.0,33.336,New York
1.1111111111111112,13.0,43.0,31.484,New York
0.5555555555555556,,39.0,20.372,New York
0.0,,41.0,16.668,New York
0.5555555555555556,2.0,43.0,14.816,New York
0.0,,46.0,12.964,New York
-1.1111111111111112,,48.0,11.112,New York
-1.6666666666666667,,53.0,,New York
-1.1111111111111112,10.0,58.0,12.964,New York
-0.5555555555555556,,61.0,14.816,New York
0.0,,,,New York
0.5555555555555556,,63.0,16.668,New York
1.1111111111111112,,64.0,18.52,New York
1.6666666666666667,13.0,,20.372,New York
2.2222222222222223,,67.0,22.224,New York
2.7777777777777777,,70.0,,New York
3.3333333333333335,,,24.076,New York
4.444444444444445,,68.0,25.928,New York
5.555555555555555,,66.0,27.78,New York
6.111111111111111,16.0,62.0,29.632,New York
6.666666666666667,,61.0,,New York
6.111111111111111,,,,New York
5.555555555555555,,57.0,27.78,New York
5.0,3.0,,,New York
4.444444444444445,,,,New York
3.3333333333333335,,56.0,29.632,New York
2.7777777777777777,,,31.484,New York
2.2222222222222223,,55.0,,New York
1.1111111111111112,,,33.336,New York
0.5555555555555556,0.0,53.0,,New York
0.0,,54.0,,New York
-1.1111111111111112,,52.0,,New York
-1.6666666666666667,,53.0,,New York
-2.2222222222222223,,,31.484,New York
-2.7777777777777777,,54.0,,New York
-3.3333333333333335,,52.0,29.632,New York
-2.7777777777777777,,46.0,,New York
-2.2222222222222223,,44.0,25.928,New York
-1.6666666666666667,,43.0,,New York
-1.1111111111111112,,,24.076,New York
-0.5555555555555556,2.0,41.0,,New York
0.5555555555555556,,38.0,,New York
1.1111111111111112,,,22.224,New York
1.6666666666666667,,36.0,,New York
1.1111111111111112,,41.0,20.372,New York
0.5555555555555556,6.0,45.0,,New York
0.0,,49.0,,New York
-0.5555555555555556,,50.0,,New York
0.0,,,22.224,New York
0.5555555555555556,10.0,56.0,,New York
1.1111111111111112,,59.0,,New York
1.6666666666666667,,62.0,,New York
2.2222222222222223,,67.0,,New York
2.7777777777777777,,,,New York
3.888888888888889,,63.0,,New York
4.444444444444445,,61.0,,New York
5.555555555555555,,57.0,,New York
6.111111111111111,,,,New York
6.666666666666667,,56.0,20.372,New York
6.111111111111111,,60.0,,New York
5.555555555555555,23.0,62.0,,New York
5.0,,64.0,,New York
4.444444444444445,,64.0,,New York
3.888888888888889,,,,New York
3.3333333333333335,,,16.668,New York
2.7777777777777777,30.0,,,New York
2.2222222222222223,,63.0,,New York
1.6666666666666667,,61.0,,New York
1.1111111111111112,,63.0,,New York
0.5555555555555556,,65.0,,New York
